Player,start,end,ppg,apg,rpg,spg,bpg,dpoy,mvp,fmvp,allstar,allnba,alldef,ppg_leader,rpg_leader,apg_leader,ws_leader,hof
Jim Wilson,1971.0,1971.0,1.0,1.33,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Michael Wilson,1984.0,1987.0,3.38,1.41,1.12,0.47,0.16,0,0,0,0,0,0,0,0,0,0,0
Nikita Wilson,1988.0,1988.0,1.27,0.2,0.73,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Othell Wilson,1985.0,1987.0,4.21,3.34,1.67,0.94,0.13,0,0,0,0,0,0,0,0,0,0,0
Rick Wilson,1979.0,1980.0,2.94,1.26,1.2,0.52,0.14,0,0,0,0,0,0,0,0,0,0,0
Ricky Wilson,1988.0,1988.0,5.21,2.88,1.12,0.96,0.12,0,0,0,0,0,0,0,0,0,0,0
Steve Wilson,1971.0,1972.0,3.08,0.73,1.08,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Trevor Wilson,1991.0,1996.0,5.74,0.96,3.43,0.49,0.14,0,0,0,0,0,0,0,0,0,0,0
Kyle Wiltjer,2017.0,2017.0,0.93,0.14,0.71,0.21,0.07,0,0,0,0,0,0,0,0,0,0,0
Kennard Winchester,1991.0,1993.0,3.42,0.38,1.07,0.23,0.2,0,0,0,0,0,0,0,0,0,0,0
Tony Windis,1960.0,1960.0,4.0,3.56,5.22,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Dylan Windler,2021.0,2023.0,3.33,0.82,2.36,0.41,0.18,0,0,0,0,0,0,0,0,0,0,0
John Windsor,1964.0,1964.0,2.45,0.18,2.36,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Lee Winfield,1970.0,1976.0,7.34,2.49,2.05,0.54,0.33,0,0,0,0,0,0,0,0,0,0,0
David Wingate,1987.0,2001.0,5.63,1.86,1.92,0.81,0.16,0,0,0,0,0,0,0,0,0,0,0
Dontonio Wingfield,1995.0,1998.0,3.71,0.67,2.41,0.34,0.13,0,0,0,0,0,0,0,0,0,0,0
Harthorne Wingo,1973.0,1976.0,4.83,0.6,3.51,0.37,0.29,0,0,0,0,0,0,0,0,0,0,0
Marv Winkler,1971.0,1972.0,2.09,0.61,0.87,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Justise Winslow,2016.0,2023.0,8.22,2.58,5.12,0.89,0.4,0,0,0,0,0,0,0,0,0,0,0
Rickie Winslow,1988.0,1988.0,1.0,0.29,1.0,0.14,0.0,0,0,0,0,0,0,0,0,0,0,0
Cassius Winston,2021.0,2022.0,1.9,0.66,0.34,0.07,0.03,0,0,0,0,0,0,0,0,0,0,0
Trevor Winter,1999.0,1999.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Brian Winters,1975.0,1983.0,16.21,4.11,2.6,1.22,0.29,0,0,0,2,0,0,0,0,0,0,0
Voise Winters,1986.0,1986.0,1.5,0.0,0.75,0.25,0.0,0,0,0,0,0,0,0,0,0,0,0
Skip Wise,1976.0,1976.0,2.0,0.5,1.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Willie Wise,1970.0,1978.0,17.62,2.89,8.29,1.16,0.35,0,0,0,0,0,0,0,0,0,0,0
James Wiseman,2021.0,2023.0,10.62,0.66,5.8,0.23,0.77,0,0,0,0,0,0,0,0,0,0,0
Jeff Withey,2014.0,2018.0,3.23,0.31,2.51,0.27,0.76,0,0,0,0,0,0,0,0,0,0,0
Luke Witte,1974.0,1976.0,3.15,0.51,3.03,0.11,0.38,0,0,0,0,0,0,0,0,0,0,0
Greg Wittman,1970.0,1971.0,3.53,0.25,1.95,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Randy Wittman,1984.0,1992.0,7.43,2.21,1.4,0.47,0.12,0,0,0,0,0,0,0,0,0,0,0
Garry Witts,1982.0,1982.0,2.87,0.83,1.35,0.37,0.09,0,0,0,0,0,0,0,0,0,0,0
Dave Wohl,1972.0,1978.0,6.23,3.41,1.36,0.87,0.07,0,0,0,0,0,0,0,0,0,0,0
Joe Wolf,1988.0,1999.0,4.2,1.01,3.27,0.43,0.22,0,0,0,0,0,0,0,0,0,0,0
Ruben Wolkowyski,2001.0,2003.0,1.95,0.1,1.15,0.15,0.44,0,0,0,0,0,0,0,0,0,0,0
Nate Wolters,2014.0,2018.0,5.49,2.49,2.2,0.51,0.2,0,0,0,0,0,0,0,0,0,0,0
Al Wood,1982.0,1987.0,11.76,1.78,3.03,0.74,0.38,0,0,0,0,0,0,0,0,0,0,0
Bob Wood,1950.0,1950.0,1.17,0.17,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Christian Wood,2016.0,2023.0,14.83,1.43,7.39,0.59,0.9,0,0,0,0,0,0,0,0,0,0,0
David Wood,1989.0,1997.0,3.89,0.71,2.44,0.4,0.18,0,0,0,0,0,0,0,0,0,0,0
Howard Wood,1982.0,1982.0,3.43,0.21,1.55,0.19,0.14,0,0,0,0,0,0,0,0,0,0,0
Leon Wood,1985.0,1991.0,6.36,3.16,1.15,0.46,0.01,0,0,0,0,0,0,0,0,0,0,0
Robert Woodard II,2021.0,2022.0,1.08,0.2,1.08,0.04,0.16,0,0,0,0,0,0,0,0,0,0,0
Loren Woods,2002.0,2008.0,2.58,0.34,3.17,0.26,0.6,0,0,0,0,0,0,0,0,0,0,0
Qyntel Woods,2003.0,2006.0,4.14,0.63,2.31,0.43,0.17,0,0,0,0,0,0,0,0,0,0,0
Randy Woods,1993.0,1996.0,2.36,1.7,0.62,0.56,0.03,0,0,0,0,0,0,0,0,0,0,0
Tommy Woods,1968.0,1968.0,2.33,0.22,3.06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
Mike Woodson,1981.0,1991.0,13.97,2.32,2.34,1.21,0.35,0,0,0,0,0,0,0,0,0,0,0
Bob Woollard,1970.0,1970.0,4.42,0.32,3.63,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
