Season,First team,First team,Second team,Second team
2009–10,Gerald Wallace,Charlotte Bobcats,Thabo Sefolosha,Oklahoma City Thunder
2010–11,Dwight Howard^ (4),Orlando Magic,Tony Allen^,Memphis Grizzlies
2010–11,Rajon Rondo^ (3),Boston Celtics,Chris Paul^ (3),New Orleans Hornets
2010–11,LeBron James^ (3),Miami Heat,Tyson Chandler,Dallas Mavericks
2010–11,Kobe Bryant* (11),Los Angeles Lakers,Andre Iguodala^,Philadelphia 76ers
2010–11,Kevin Garnett* (11),Boston Celtics,Joakim Noah,Chicago Bulls
2011–12,LeBron James^ (4),Miami Heat,Kevin Garnett* (12),Boston Celtics
2011–12,Serge Ibaka^,Oklahoma City Thunder,Luol Deng^,Chicago Bulls
2011–12,Dwight Howard^ (5),Orlando Magic,Tyson Chandler (2),New York Knicks
2011–12,Chris Paul^ (4),Los Angeles Clippers,Rajon Rondo^ (4),Boston Celtics
2011–12,Tony Allen^ (2),Memphis Grizzlies,Kobe Bryant* (12),Los Angeles Lakers
2012–13,LeBron James^ (5),Miami Heat,Tim Duncan* (14),San Antonio Spurs
2012–13,Serge Ibaka^ (2),Oklahoma City Thunder,Paul George^,Indiana Pacers
2012–13,Tyson Chandler (3) (tie),New York Knicks,Marc Gasol^,Memphis Grizzlies
2012–13,Joakim Noah (2) (tie),Chicago Bulls,Marc Gasol^,Memphis Grizzlies
2012–13,Tony Allen^ (3),Memphis Grizzlies,Avery Bradley^,Boston Celtics
2012–13,Chris Paul^ (5),Los Angeles Clippers,Mike Conley Jr.^,Memphis Grizzlies
2013–14,Joakim Noah (3),Chicago Bulls,LeBron James^ (6),Miami Heat
2013–14,Paul George^ (2),Indiana Pacers,Patrick Beverley^,Houston Rockets
2013–14,Chris Paul^ (6),Los Angeles Clippers,Jimmy Butler^,Chicago Bulls
2013–14,Serge Ibaka^ (3),Oklahoma City Thunder,Kawhi Leonard^,San Antonio Spurs
2013–14,Andre Iguodala^ (2),Golden State Warriors,Roy Hibbert,Indiana Pacers
2014–15,Kawhi Leonard^ (2),San Antonio Spurs,Anthony Davis^,New Orleans Pelicans
2014–15,Draymond Green^,Golden State Warriors,Jimmy Butler^ (2),Chicago Bulls
2014–15,Tony Allen^ (4),Memphis Grizzlies,Andrew Bogut,Golden State Warriors
2014–15,DeAndre Jordan^,Los Angeles Clippers,John Wall^,Washington Wizards
2014–15,Chris Paul^ (7),Los Angeles Clippers,Tim Duncan* (15),San Antonio Spurs
2015–16,Kawhi Leonard^ (3),San Antonio Spurs,Paul Millsap^,Atlanta Hawks
2015–16,Draymond Green^ (2),Golden State Warriors,Paul George^ (3),Indiana Pacers
2015–16,DeAndre Jordan^ (2),Los Angeles Clippers,Hassan Whiteside^,Miami Heat
2015–16,Avery Bradley^ (2),Boston Celtics,Tony Allen^ (5),Memphis Grizzlies
2015–16,Chris Paul^ (8),Los Angeles Clippers,Jimmy Butler^ (3),Chicago Bulls
2016–17,Draymond Green^ (3),Golden State Warriors,Tony Allen^ (6),Memphis Grizzlies
2016–17,Rudy Gobert^,Utah Jazz,Danny Green^,San Antonio Spurs
2016–17,Kawhi Leonard^ (4),San Antonio Spurs,Anthony Davis^ (2),New Orleans Pelicans
2016–17,Chris Paul^ (9),Los Angeles Clippers,André Roberson^,Oklahoma City Thunder
2016–17,Patrick Beverley^ (2),Houston Rockets,Giannis Antetokounmpo^,Milwaukee Bucks
2017–18,Rudy Gobert^ (2),Utah Jazz,Joel Embiid^,Philadelphia 76ers
2017–18,Anthony Davis^ (3),New Orleans Pelicans,Draymond Green^ (4),Golden State Warriors
2017–18,Victor Oladipo^,Indiana Pacers,Al Horford^,Boston Celtics
2017–18,Jrue Holiday^,New Orleans Pelicans,Dejounte Murray^,San Antonio Spurs
2017–18,Robert Covington^,Philadelphia 76ers,Jimmy Butler^ (4),Minnesota Timberwolves
2018–19,Rudy Gobert^ (3),Utah Jazz,Jrue Holiday^ (2),New Orleans Pelicans
2018–19,Paul George^ (4),Oklahoma City Thunder,Klay Thompson^,Golden State Warriors
2018–19,Giannis Antetokounmpo^ (2),Milwaukee Bucks,Joel Embiid^ (2),Philadelphia 76ers
2018–19,Marcus Smart^,Boston Celtics,Draymond Green^ (5),Golden State Warriors
2018–19,Eric Bledsoe^,Milwaukee Bucks,Kawhi Leonard^ (5),Toronto Raptors
2019–20,Giannis Antetokounmpo^ (3),Milwaukee Bucks,Kawhi Leonard^ (6),Los Angeles Clippers
2019–20,Anthony Davis^ (4),Los Angeles Lakers,Brook Lopez^,Milwaukee Bucks
2019–20,Ben Simmons^,Philadelphia 76ers,Bam Adebayo^,Miami Heat
2019–20,Rudy Gobert^ (4),Utah Jazz,Patrick Beverley^ (3),Los Angeles Clippers
2019–20,Marcus Smart^ (2),Boston Celtics,Eric Bledsoe^ (2),Milwaukee Bucks
2020–21,Rudy Gobert^ (5),Utah Jazz,Bam Adebayo^ (2),Miami Heat
2020–21,Ben Simmons^ (2),Philadelphia 76ers,Jimmy Butler^ (5),Miami Heat
2020–21,Draymond Green^ (6),Golden State Warriors,Joel Embiid^ (3),Philadelphia 76ers
2020–21,Jrue Holiday^ (3),Milwaukee Bucks,Matisse Thybulle^,Philadelphia 76ers
2020–21,Giannis Antetokounmpo^ (4),Milwaukee Bucks,Kawhi Leonard^ (7),Los Angeles Clippers
2021–22,Marcus Smart^ (3),Boston Celtics,Bam Adebayo^ (3),Miami Heat
2021–22,Mikal Bridges^,Phoenix Suns,Jrue Holiday^ (4),Milwaukee Bucks
2021–22,Rudy Gobert^ (6),Utah Jazz,Matisse Thybulle^ (2),Philadelphia 76ers
2021–22,Giannis Antetokounmpo^ (5),Milwaukee Bucks,Robert Williams III^,Boston Celtics
2021–22,Jaren Jackson Jr.^,Memphis Grizzlies,Draymond Green^ (7),Golden State Warriors
