Player,start,end,ppg,apg,rpg,spg,bpg
Kevin Kunnert,1974,1982,8.29,1.41,7.26,0.45,1.11
Terry Kunze,1968,1968,5,1.02,1.63,0,0
Mitch Kupchak,1977,1986,10.2,0.74,5.35,0.32,0.35
CJ Kupec,1976,1978,4.12,0.73,2.13,0.21,0.05
Rodions Kurucs,2019,2021,5.95,0.86,3.1,0.57,0.26
Rob Kurz,2009,2009,3.92,0.5,2.02,0.35,0.47
Ibo Kutluay,2005,2005,0,0,0.2,0,0
Kyle Kuzma,2018,2023,16.49,2.46,6.35,0.57,0.52
Ognjen Kuzmic,2014,2015,0.95,0.22,1.03,0.14,0.14
Mindaugas Kuzminskas,2017,2018,6.16,1,1.83,0.42,0.16
Fred LaCour,1961,1963,6.53,1.87,3.29,0,0
Raef LaFrentz,1999,2008,10.11,1.08,6.08,0.49,1.63
Tom LaGarde,1978,1985,7.62,1.46,5.11,0.3,0.42
Jake LaRavia,2023,2023,3,0.64,1.82,0.36,0.12
Rusty LaRue,1998,2004,4.96,1.55,1.29,0.63,0.11
Rudy LaRusso,1960,1969,15.63,2.11,9.42,0,0
Zach LaVine,2015,2023,20.44,3.91,4.02,0.89,0.29
Skal Labissiere,2017,2020,7.22,1.03,4.47,0.36,0.67
Reggie Lacefield,1969,1969,3,0,1.38,0,0
Edgar Lacey,1969,1969,5.09,0.65,3.91,0,0
Sam Lacey,1971,1983,10.28,3.75,9.67,1.31,1.52
Bob Lackey,1973,1974,5.82,1.93,2.31,0.33,0
Wendell Ladner,1971,1975,11.58,2.07,8.27,1.57,0.08
Christian Laettner,1993,2005,12.81,2.56,6.69,1.06,0.78
Oliver Lafayette,2010,2010,7,2,4,0,0
Bill Laimbeer,1981,1994,12.91,2.04,9.74,0.66,0.9
Pete Lalich,1947,1947,0,0,0,0,0
Bo Lamar,1974,1977,16.4,3.89,2.71,1.32,0.11
Anthony Lamb,2021,2023,6.42,1.45,3.22,0.4,0.27
Doron Lamb,2013,2014,3.45,0.75,0.95,0.24,0.01
Jeremy Lamb,2013,2022,10.13,1.58,3.62,0.73,0.38
John Lambert,1976,1982,3.78,0.56,3.35,0.34,0.39
Jeff Lamp,1982,1989,5.14,0.92,1.5,0.36,0.05
Maciej Lampe,2004,2006,3.36,0.34,2.22,0.12,0.16
Jim Lampley,1987,1987,3,0,5,1,0
Sean Lampley,2003,2004,4.51,0.73,2.09,0.16,0.09
Jock Landale,2022,2023,5.73,0.88,3.32,0.21,0.37
Carl Landry,2008,2016,10.8,0.69,4.94,0.42,0.4
Marcus Landry,2010,2010,2.44,0,1.06,0.06,0.11
Mark Landsberger,1978,1984,5.65,0.54,6.14,0.28,0.16
Jerome Lane,1989,1993,5.29,1.48,5.77,0.63,0.18
Andrew Lang,1989,2000,6.01,0.58,4.76,0.45,1.49
Antonio Lang,1995,2000,2.3,0.35,1.47,0.38,0.32
James Lang,2007,2007,1,0.18,1,0,0.27
Trajan Langdon,2000,2002,5.44,1.28,1.34,0.47,0.12
Keith Langford,2008,2008,1,0,1,0,0
Romeo Langford,2020,2023,4.6,0.68,2.14,0.4,0.32
Dan Langhi,2001,2004,2.95,0.29,1.5,0.23,0.09
Bob Lanier,1971,1984,20.07,3.14,10.11,1.09,1.54
Stu Lantz,1969,1976,12.4,2.86,3.33,0.68,0.1
Nicolas Laprovittola,2017,2017,3.28,1.56,0.56,0.22,0.06
York Larese,1962,1962,5.12,1.59,1.31,0,0
Shane Larkin,2014,2018,5.46,2.88,1.91,0.95,0.09
John Laskowski,1976,1977,7.05,0.84,2.39,0.75,0.1
Stephane Lasme,2008,2008,5.19,0.19,3.31,0.81,1.38
Dave Lattin,1968,1973,7.24,0.7,5.06,0,0
Priest Lauderdale,1997,1998,3.45,0.45,1.93,0.11,0.35
Rich Laurel,1978,1978,2.4,0.3,1,0.3,0.1
Harry Laurie,1971,1971,1.44,0.89,1.67,0,0
Walt Lautenbach,1950,1950,4.33,1.33,0,0,0
Joffrey Lauvergne,2015,2018,5.57,0.87,3.79,0.26,0.16
Tony Lavelli,1950,1951,6.87,0.73,1.97,0,0
Bob Lavoy,1951,1954,8.17,1.48,6.19,0,0
Acie Law,2008,2011,3.86,1.64,1.04,0.44,0.02
Vic Law,2020,2020,1.88,0.38,1.38,0.25,0
Gani Lawal,2011,2011,0,0,0,0,0
Edmund Lawrence,1981,1981,4,0.33,1.33,0.33,0
AJ Lawson,2023,2023,2.62,0.08,0.77,0.08,0
Jason Lawson,1998,1998,1.53,0.29,1.59,0.24,0.24
Ty Lawson,2010,2017,12.66,6.02,2.73,1.15,0.09
Jake Layman,2017,2022,4.84,0.52,1.72,0.41,0.29
Mo Layton,1972,1978,6.91,2.64,1.34,0.42,0.1
Caris LeVert,2017,2023,14.15,3.96,3.84,1.06,0.33
TJ Leaf,2018,2021,3.27,0.29,1.94,0.18,0.19
Manny Leaks,1969,1974,11.89,1.06,8.96,0.19,0.74
Hal Lear,1957,1957,1.33,0.33,0.33,0,0
Allen Leavell,1980,1989,9.55,4.77,1.66,1.33,0.17
Jeff Lebo,1990,1990,1.5,0.75,1,0.5,0
Eric Leckner,1989,1997,4.09,0.47,3.16,0.19,0.31
Jalen Lecque,2020,2021,1.67,0.44,0.78,0,0
Ricky Ledo,2014,2015,3.89,0.75,1.36,0.25,0.04
Butch Lee,1979,1980,8.05,3.2,1.43,0.91,0.01
Clyde Lee,1967,1976,7.73,1.06,10.28,0.38,0.3
Courtney Lee,2009,2020,9.57,1.67,2.62,1,0.26
Damion Lee,2018,2023,8.27,1.43,3.4,0.66,0.1
Dave Lee,1968,1969,6.45,0.34,3.22,0,0
David Lee,2006,2017,13.55,2.2,8.83,0.75,0.4
Dick Lee,1968,1968,0,0.5,0.5,0,0
Doug Lee,1992,1995,2.3,0.44,0.58,0.23,0.07
George Lee,1961,1968,7.51,0.87,4.16,0,0
Greg Lee,1975,1976,2.4,2.4,0.5,0.6,0
Keith Lee,1986,1989,6.12,0.98,4.73,0.41,0.6
Kurk Lee,1991,1991,1.38,0.71,0.62,0.23,0.04
Malcolm Lee,2012,2015,3.89,1.42,1.81,0.56,0.28
Rock Lee,1982,1982,1,1,0.5,0,0
Ron Lee,1977,1982,7.33,3.77,2.72,1.94,0.27
Russ Lee,1973,1975,2.91,0.67,1.18,0.43,0.06
Saben Lee,2021,2023,5.53,3.14,2.07,0.78,0.24
Ed Leede,1950,1951,7.84,1.86,2.07,0,0
Hank Lefkowitz,1947,1947,2.12,0.17,0,0,0
Tim Legler,1990,2000,7.04,1.3,1.55,0.48,0.13
George Lehmann,1968,1974,11.86,4.46,1.65,0.39,0.12
Barry Leibowitz,1968,1968,10.9,3.67,2.07,0,0
Walt Lemon Jr,2018,2019,9.36,3.18,2.64,1,0.18
Alex Len,2014,2023,7.46,0.84,5.71,0.38,0.94
Voshon Lenard,1996,2006,11.94,2.09,2.85,0.75,0.23
Leary Lentz,1968,1969,7.97,0.81,6.21,0,0
Gary Leonard,1990,1992,1.42,0.06,1.1,0.13,0.32
Kawhi Leonard,2012,2023,19.55,2.97,6.4,1.74,0.63
Meyers Leonard,2013,2023,5.58,0.87,3.86,0.19,0.28
Slick Leonard,1957,1963,9.87,3.35,2.86,0,0
Jim Les,1989,1995,3.77,2.9,1.23,0.53,0.06
Travis Leslie,2012,2012,1.4,0.5,0.9,0.2,0.2
Ronnie Lester,1981,1986,7.26,4.01,1.89,0.75,0.13
Clifford Lett,1990,1991,3.45,0.73,0.64,0.18,0.09
Jon Leuer,2012,2019,6.35,0.8,3.78,0.36,0.27
Andrew Levane,1949,1953,4.5,1.98,1.29,0,0
Fat Lever,1983,1994,13.87,6.24,6.01,2.22,0.28
Cliff Levingston,1983,1995,7.09,0.91,5.19,0.64,0.71
Bobby Lewis,1968,1971,5.81,2.18,2.09,0,0
Cedric Lewis,1996,1996,1.33,0,0.67,0.33,0
Freddie Lewis,1949,1950,8.41,1.39,0,0,0
Freddie Lewis,1967,1977,16.04,3.97,3.67,1.47,0.09
Grady Lewis,1947,1949,5.4,0.95,0,0,0
Kira Lewis Jr,2021,2023,5.94,1.93,1.44,0.59,0.13
Martin Lewis,1996,1997,3.56,0.28,1.4,0.36,0.2
Mike Lewis,1969,1974,12.11,2.97,11.93,0,0
Quincy Lewis,2000,2004,3.57,0.6,1.32,0.37,0.23
Ralph Lewis,1988,1990,2.31,0.29,1.19,0.25,0.07
Rashard Lewis,1999,2014,14.85,1.68,5.18,1.06,0.52
Reggie Lewis,1988,1993,17.56,2.56,4.31,1.26,0.93
Scottie Lewis,2022,2022,0.5,0.5,0,0.5,0
Marcus Liberty,1991,1994,7.27,0.91,3.46,0.71,0.27
Todd Lichti,1990,1994,7.89,1.37,2.13,0.76,0.19
DeAndre Liggins,2012,2018,1.95,0.69,1.42,0.61,0.18
Bill Ligon,1975,1975,3.32,0.66,0.68,0.21,0.24
Goose Ligon,1968,1974,12.81,2.1,10.88,0.47,0.47
Damian Lillard,2013,2023,25.2,6.69,4.22,0.95,0.31
Jeremy Lin,2011,2019,11.6,4.25,2.79,1.08,0.36
Steve Lingenfelter,1983,1984,1,0.5,1.6,0.1,0.3
Alton Lister,1982,1998,6.61,0.96,6.29,0.37,1.55
Nassir Little,2020,2023,5.92,0.78,3.22,0.32,0.43
Sammy Little,1970,1970,1.67,0.67,0.33,0,0
Gene Littles,1970,1975,9.04,2.97,3.28,1.21,0.14
Isaiah Livers,2022,2023,6.29,0.85,2.66,0.62,0.49
Randy Livingston,1997,2007,3.81,2.04,1.39,0.6,0.15
Shaun Livingston,2005,2019,6.28,2.98,2.39,0.7,0.37
Ron Livingstone,1950,1951,6.26,1.85,4.71,0,0
Horacio Llamas,1997,1998,2.07,0.18,1.29,0.39,0.29
Bobby Lloyd,1968,1969,9.02,1.83,1.76,0,0
Chuck Lloyd,1971,1971,4.71,0.43,1.79,0,0
Earl Lloyd,1951,1960,8.36,1.45,6.44,0,0
Lewis Lloyd,1982,1990,13.22,2.93,3.07,0.94,0.34
Scott Lloyd,1977,1983,4.55,0.96,2.99,0.27,0.2
Riney Lochmann,1968,1970,4.3,0.84,2.74,0,0
Bob Lochmueller,1953,1953,3.74,0.76,2.61,0,0
Rob Lock,1989,1989,1.5,0.2,1.6,0.15,0.2
Darrell Lockhart,1984,1984,2,0,1.5,0,0
Ian Lockhart,1991,1991,4,0,0,0,0
Kevin Loder,1982,1984,5.91,1.18,2.28,0.45,0.29
Don Lofgran,1951,1954,6.05,1.03,3.91,0,0
Kenneth Lofton Jr,2023,2023,2.94,0.69,1.19,0.06,0.06
Zach Lofton,2019,2019,0,0,0,1,0
Henry Logan,1969,1970,11.65,2.26,3.48,0,0
John Logan,1947,1951,12.41,3,4.47,0,0
Brad Lohaus,1988,1998,5.88,1.09,2.85,0.47,0.77
Art Long,2001,2003,3.52,0.49,3.26,0.28,0.43
Grant Long,1989,2003,9.49,1.71,6.14,1.2,0.36
John Long,1979,1997,13.58,1.95,2.79,1.02,0.2
Paul Long,1968,1971,3.86,0.82,0.82,0,0
Shawn Long,2017,2017,8.22,0.72,4.72,0.5,0.5
Willie Long,1972,1974,11.35,0.98,5.96,0.66,0.16
Luc Longley,1992,2001,7.21,1.47,4.93,0.49,0.97
Kevon Looney,2016,2023,5.1,1.53,5.48,0.51,0.57
Brook Lopez,2009,2023,16.35,1.43,6.26,0.57,1.82
Felipe Lopez,1999,2002,5.82,1.01,2.43,0.65,0.25
Raul Lopez,2004,2005,6.49,3.79,1.72,0.74,0.04
Robin Lopez,2009,2023,8.52,0.83,4.78,0.22,1.07
Ryan Lorthridge,1995,1995,7.35,2.73,1.92,0.76,0.03
Jim Loscutoff,1956,1964,6.18,0.69,5.57,0,0
Plummer Lott,1968,1969,2.19,0.64,1.84,0,0
Kevin Loughery,1963,1973,15.33,3.71,2.99,0,0
Didi Louzada,2021,2022,3.58,0.67,1.67,0.33,0.17
Bob Love,1967,1977,17.61,1.42,5.9,0.83,0.2
Kevin Love,2009,2023,17.04,2.33,10.43,0.62,0.41
Stan Love,1972,1975,6.61,0.76,3.89,0.47,0.4
Clyde Lovellette,1954,1964,16.97,1.56,9.46,0,0
Sidney Lowe,1984,1990,2.91,3.88,1.74,0.99,0.05
Charlie Lowery,1972,1972,2.25,0.7,0.95,0,0
Kyle Lowry,2007,2023,14.65,6.27,4.37,1.31,0.3
Jordan Loyd,2019,2019,2.42,0.5,0.75,0,0
Al Lucas,1949,1949,1,1,0,0,0
Jerry Lucas,1964,1974,16.95,3.3,15.61,0.38,0.33
John Lucas,1977,1990,10.72,6.95,2.32,1.37,0.08
Kalin Lucas,2015,2019,1,0.5,1.5,0.5,0
Maurice Lucas,1975,1988,14.55,2.45,9.11,0.79,0.65
John Lucas III,2006,2017,4.74,1.5,0.98,0.36,0.01
Ted Luckenbill,1962,1963,2.25,0.4,1.91,0,0
Tyronn Lue,1999,2009,8.5,3.12,1.7,0.52,0.02
Jim Luisi,1954,1954,2.87,1.13,0.81,0,0
Al Lujack,1947,1947,0.8,0,0,0,0
Phil Lumpkin,1975,1976,3.32,2.74,1,0.43,0.04
Ray Lumpp,1949,1953,8.21,2.18,2.16,0,0
Gabriel Lundberg,2022,2022,3.25,2.75,1.75,0.75,0
Timothe LuwawuCabarrot,2017,2022,5.91,0.89,2,0.4,0.13
Tyler Lydon,2018,2019,0.88,0.23,0.69,0.08,0
Trey Lyles,2016,2023,7.82,1.05,4.3,0.39,0.36
RB Lynam,1968,1968,2.43,0,0.71,0,0
George Lynch,1994,2005,6.6,1.45,5.04,1.06,0.33
Kevin Lynch,1992,1993,3.26,1.14,1.26,0.51,0.16
Lonnie Lynn,1970,1970,5,0.83,4.96,0,0
Mike Lynn,1970,1971,2.57,0.63,1.39,0,0
Sheldon Mac,2017,2017,3,0.5,1.13,0.27,0.07
Todd MacCulloch,2000,2003,6.14,0.54,3.98,0.27,0.79
Ronnie MacGilvray,1955,1955,1.33,1.83,1.5,0,0
Don MacLean,1993,2001,10.94,1.27,3.79,0.37,0.16
Mike Macaluso,1974,1974,1.6,0.1,0.83,0.23,0.03
Ed Macauley,1950,1959,17.53,3.24,7.53,0,0
Scott Machado,2013,2019,1.8,0.9,0.1,0.3,0
Arvydas Macijauskas,2006,2006,2.32,0.26,0.53,0.37,0
Ollie Mack,1980,1982,7.16,1.8,2.49,0.66,0.09
Sam Mack,1993,2002,7.76,1.3,2.06,0.63,0.14
Shelvin Mack,2012,2019,6.57,3.12,1.96,0.66,0.05
Malcolm Mackey,1994,1994,1.45,0.05,1.09,0,0.14
Rudy Macklin,1982,1984,6.44,0.76,2.9,0.51,0.19
Vernon Macklin,2012,2012,2,0.22,1.48,0.17,0.17
Johnny Macknowski,1950,1951,7.03,1.15,1.9,0,0
Daryl Macon,2019,2020,2.67,0.67,1,0.08,0
Mark Macon,1992,1999,6.71,1.71,1.86,1.39,0.08
JP Macura,2019,2020,2,0.67,1,0,0
Kyle Macy,1981,1987,9.54,3.99,2.2,1.15,0.09
Jack Maddox,1949,1949,0,1,0,0,0
Tito Maddox,2003,2003,1.22,0.56,0.78,0.33,0.11
Gerald Madkins,1994,1998,1.67,1.35,0.54,0.5,0.02
Mark Madsen,2001,2009,2.15,0.4,2.55,0.26,0.23
Norm Mager,1951,1951,5.17,0.96,1.96,0,0
Josh Magette,2018,2020,2.23,2.38,0.96,0.42,0.08
Corey Maggette,2000,2013,15.96,2.05,4.86,0.71,0.17
Dave Magley,1983,1983,0.86,0.14,0.71,0.14,0
Jamaal Magloire,2001,2012,7.23,0.57,6.48,0.33,0.89
Will Magnay,2021,2021,0,0,0,0,0
Randy Mahaffey,1968,1971,11.88,1.58,7.96,0,0
Ian Mahinmi,2008,2020,5.19,0.58,4.38,0.58,0.72
John Mahnken,1947,1953,5.77,1.3,2.85,0,0
Brian Mahoney,1973,1973,3.05,0.63,0.74,0,0
Mo Mahoney,1953,1954,1.5,0.25,1.12,0,0
Rick Mahorn,1981,1999,6.95,0.97,6.23,0.57,0.9
Dan Majerle,1989,2002,11.44,2.88,4.47,1.25,0.38
Renaldo Major,2007,2007,5,0,2,2,0
Thon Maker,2017,2021,4.62,0.61,2.76,0.37,0.66
Lionel Malamed,1949,1949,5.86,1.39,0,0,0
Theo Maledon,2021,2023,8.02,2.79,2.82,0.75,0.18
Jeff Malone,1984,1996,19.04,2.38,2.61,0.64,0.11
Karl Malone,1986,2004,25.02,3.56,10.14,1.41,0.78
Moses Malone,1975,1995,20.33,1.33,12.26,0.82,1.3
Matt Maloney,1997,2003,7.38,2.89,1.69,0.81,0.05
Steve Malovic,1980,1980,2.05,0.67,2.21,0.21,0.15
Mike Maloy,1971,1973,6.23,0.68,3.77,0,0
Sandro Mamukelashvili,2022,2023,3.65,0.65,2.54,0.21,0.21
Ted Manakas,1974,1974,2.4,0.4,0.6,0.2,0
John Mandic,1949,1950,4.14,1.09,0,0,0
Karim Mane,2021,2021,1.1,0.4,1.4,0,0.2
Frank Mangiapane,1947,1947,0.83,0,0,0,0
Terance Mann,2020,2023,8.01,2.02,3.75,0.51,0.22
Tre Mann,2022,2023,9.21,1.62,2.58,0.7,0.19
Danny Manning,1989,2003,14.01,2.34,5.23,1.13,0.85
Ed Manning,1968,1976,5.86,0.82,4.5,0.84,0.16
Guy Manning,1968,1969,8.27,0.53,4.84,0,0
Rich Manning,1996,1997,3.31,0.18,1.71,0.13,0.15
Nico Mannion,2021,2021,4.1,2.33,1.53,0.53,0.03
Pace Mannion,1984,1989,3.06,1.07,1.2,0.5,0.1
Nick Mantis,1960,1963,4.54,1.77,1.75,0,0
Pete Maravich,1971,1980,24.24,5.41,4.17,1.36,0.25
Press Maravich,1947,1947,4.59,0.12,0,0,0
Devyn Marble,2015,2016,2.2,0.66,1.57,0.5,0.07
Roy Marble,1990,1994,1.9,0.41,1.1,0.24,0.1
Stephon Marbury,1997,2009,19.26,7.65,2.97,1.21,0.14
Sarunas Marciulionis,1990,1997,12.76,2.22,2.26,1.26,0.09
Saul Mariaschin,1948,1948,7.74,1.4,0,0,0
Jack Marin,1967,1977,14.77,2.14,5.19,0.54,0.2
Shawn Marion,2000,2015,15.22,1.89,8.69,1.51,1.06
Boban Marjanovic,2016,2023,5.68,0.46,3.66,0.19,0.3
Lauri Markkanen,2018,2023,17.22,1.36,7.08,0.66,0.52
Damir Markota,2007,2007,1.7,0.2,1.03,0.1,0.03
Sean Marks,1999,2011,2.77,0.22,2.18,0.14,0.38
Harvey Marlatt,1971,1973,3.69,1.54,1.41,0,0
Jim Marsh,1972,1972,3.05,0.77,2.15,0,0
Ricky Marsh,1978,1978,4.48,1.5,1.25,0.48,0.32
Donny Marshall,1996,2003,2.46,0.3,1.02,0.31,0.04
Donyell Marshall,1995,2009,11.2,1.36,6.66,0.83,0.89
Kendall Marshall,2013,2016,5.01,4.87,1.58,0.67,0.06
Naji Marshall,2021,2023,7.74,2.07,3.52,0.7,0.2
Rawle Marshall,2006,2007,2.7,0.37,0.95,0.32,0.19
Tom Marshall,1955,1959,5.67,1.12,2.93,0,0
Vester Marshall,1974,1974,1.31,0.31,2.85,0.31,0.23
Bill Martin,1986,1988,4.73,0.69,1.62,0.36,0.11
Bob Martin,1994,1995,2.09,0.33,2.2,0.15,0.63
Brian Martin,1986,1986,0.75,0,0.5,0,0.12
Caleb Martin,2020,2023,8.03,1.31,3.68,0.87,0.4
Cartier Martin,2009,2015,5.06,0.5,1.91,0.4,0.11
Cody Martin,2020,2023,5.75,2.08,3.53,0.94,0.3
Cuonzo Martin,1996,1997,1.29,0.43,0.43,0.14,0
Darrick Martin,1995,2008,6.86,2.87,1.14,0.66,0.04
Dino Martin,1947,1948,9.07,0.79,0,0,0
Don Martin,1947,1949,2.99,0.26,0,0,0
Fernando Martin,1987,1987,0.92,0.38,1.17,0.29,0.04
Jarell Martin,2016,2019,5.42,0.62,3.47,0.36,0.4
Jeff Martin,1990,1991,6.69,0.76,2.03,0.55,0.33
Jeremiah Martin,2020,2021,4.78,1.22,0.94,0.67,0.22
Kelan Martin,2020,2022,5.47,0.64,2.39,0.31,0.29
Kenyon Martin,2001,2015,12.32,1.9,6.82,1.18,1.14
Kenyon Martin Jr,2021,2023,10.22,1.32,4.8,0.52,0.55
Kevin Martin,2005,2016,17.36,1.89,3.19,0.9,0.11
LaRue Martin,1973,1976,5.28,0.75,4.64,0.24,0.51
Maurice Martin,1987,1988,2.96,0.71,0.94,0.28,0.13
Phil Martin,1955,1955,1.71,0.86,1.43,0,0
Slater Martin,1950,1960,9.85,4.24,3.4,0,0
Tyrese Martin,2023,2023,1.15,0,0.46,0.08,0
Whitey Martin,1962,1962,3.44,1.74,2.39,0,0
Jamal Mashburn,1994,2004,19.06,3.95,5.35,1.03,0.18
Al Masino,1953,1954,4.83,1.84,2.07,0,0
Anthony Mason,1990,2003,10.95,3.36,8.25,0.73,0.28
Desmond Mason,2001,2010,12.08,1.63,4.45,0.69,0.36
Frank Mason III,2018,2021,6.75,2.64,1.98,0.53,0.15
Roger Mason,2003,2014,6.35,1.31,1.73,0.36,0.14
Tony Massenburg,1991,2005,6.2,0.39,4.34,0.38,0.47
Eddie Mast,1971,1973,2.53,0.46,2.37,0,0
Yante Maten,2019,2019,1,0,1.5,0.5,0
Garrison Mathews,2020,2023,6.77,0.63,1.87,0.6,0.18
Mangok Mathiang,2018,2018,2,0,2.5,0.25,0
Dakota Mathias,2021,2022,3.86,1,0.64,0.14,0.21
Johnny Mathis,1968,1968,3.39,0.55,3.8,0,0
Bennedict Mathurin,2023,2023,16.64,1.4,4.01,0.6,0.12
Wes Matthews,1981,1990,7.86,4.2,1.35,0.95,0.17
Wesley Matthews,2010,2023,11.78,1.92,2.85,0.96,0.2
Ariel Maughan,1947,1951,7.89,1.2,4.03,0,0
Marlon Maxey,1993,1994,4.89,0.22,3.7,0.28,0.52
Tyrese Maxey,2021,2023,15.07,3.3,2.58,0.65,0.27
Jason Maxiell,2006,2015,5.63,0.43,4.17,0.37,0.79
Cedric Maxwell,1978,1988,12.53,2.23,6.3,0.8,0.52
Vernon Maxwell,1989,2001,12.76,3.41,2.57,1.14,0.18
Don May,1969,1975,8.81,1.03,3.45,0.34,0.12
Scott May,1977,1983,10.39,1.72,4.08,0.8,0.12
Sean May,2006,2010,6.9,0.97,4.04,0.45,0.39
Lee Mayberry,1993,1999,5.13,3.56,1.29,0.71,0.09
Clyde Mayes,1976,1977,4.01,0.54,3.77,0.12,0.62
Tharon Mayes,1992,1992,4.12,1.46,0.67,0.67,0.08
Bill Mayfield,1981,1981,2.43,0.14,1.29,0,0.14
Ken Mayfield,1976,1976,2.85,0.31,0.62,0,0
Eric Maynor,2010,2014,4.27,2.85,1.3,0.42,0.07
OJ Mayo,2009,2016,13.85,2.94,3.12,1.02,0.26
Skylar Mays,2021,2022,3.34,0.77,0.98,0.34,0.03
Travis Mays,1991,1993,11.07,2.83,2.03,0.89,0.12
Matt Mazza,1950,1950,3.77,1.12,0,0,0
Luc Mbah a Moute,2009,2020,6.36,0.85,4.06,0.89,0.38
Bob McAdoo,1973,1986,22.05,2.29,9.45,0.97,1.49
James Michael McAdoo,2015,2018,3.01,0.33,1.69,0.3,0.42
Ken McBride,1955,1955,9.75,1.17,2.58,0,0
Miles McBride,2022,2023,2.98,1.08,0.93,0.49,0.08
Tahjere McCall,2019,2019,4,0,1,0,0
Ray McCallum,2014,2016,5.97,2.39,1.99,0.51,0.18
Bob McCann,1990,1998,4.15,0.58,2.63,0.45,0.44
Brendan McCann,1958,1960,1.8,1.59,1.22,0,0
Mel McCants,1990,1990,1.69,0.15,0.46,0.23,0.08
Rashad McCants,2006,2009,9.96,1.33,2.03,0.73,0.24
Mike McCarron,1947,1950,9.68,0.91,0,0,0
Andre McCarter,1977,1981,3.81,1.67,0.92,0.36,0
Willie McCarter,1970,1972,7.03,1.96,1.6,0,0
Johnny McCarthy,1957,1964,7.75,3.75,3.62,0,0
Howie McCarty,1947,1947,1.11,0.11,0,0,0
Kelly McCarty,1999,1999,2,0,1.5,0,0
Walter McCarty,1997,2006,5.15,1.13,2.62,0.64,0.29
Amal McCaskill,1997,2004,1.79,0.32,1.87,0.21,0.32
Patrick McCaw,2017,2021,3.82,1.36,1.6,0.7,0.16
Dwayne McClain,1986,1986,3.49,1.49,0.67,0.84,0.09
Ted McClain,1972,1979,8.41,3.44,2.93,1.67,0.2
Dan McClintock,2001,2001,3,0.17,2.83,0,0.33
Jack McCloskey,1953,1953,6,1,3,0,0
George McCloud,1990,2002,9.04,2.31,3.06,0.77,0.25
Mac McClung,2022,2022,4,0.5,1.5,0.5,0.5
CJ McCollum,2014,2023,19.39,3.71,3.55,0.89,0.39
John McConathy,1952,1952,1.27,0.73,1.82,0,0
Bucky McConnell,1953,1953,4.86,2.93,2.43,0,0
TJ McConnell,2016,2023,6.99,5.02,2.99,1.25,0.18
Keith McCord,1981,1981,2,0.5,1,0,0
Tim McCormick,1985,1992,8.34,1.02,4.9,0.29,0.39
Jelani McCoy,1999,2008,4.62,0.52,3.54,0.29,0.74
Paul McCracken,1973,1977,4.32,0.89,1.97,0.46,0
Chris McCray,2007,2007,0,0,0,0,0
Rodney McCray,1984,1993,11.74,3.58,6.62,0.76,0.64
Scooter McCray,1984,1987,2.91,0.96,2.47,0.27,0.34
Erik McCree,2018,2018,0,0,0.25,0.25,0
Chris McCullough,2016,2018,3.29,0.25,1.9,0.51,0.32
John McCullough,1982,1982,2.62,0.38,0.5,0.25,0
Clint McDaniel,1996,1996,2.5,0.58,0.83,0.42,0
Xavier McDaniel,1986,1998,15.64,2.04,6.11,0.91,0.48
Jaden McDaniels,2021,2023,9.41,1.42,3.94,0.75,0.9
Jalen McDaniels,2020,2023,7.74,1.3,3.84,0.71,0.39
Jim McDaniels,1972,1978,9.96,1.06,6.45,0.17,0.59
KJ McDaniels,2015,2017,5.28,0.64,2.19,0.47,0.64
Doug McDermott,2015,2023,9.28,0.99,2.33,0.21,0.1
Sean McDermott,2021,2021,2.17,0.22,1.06,0.11,0.17
Ben McDonald,1986,1989,6.03,1.34,3.23,0.44,0.1
Glenn McDonald,1975,1977,4.17,0.68,1.47,0.35,0.17
Michael McDonald,1998,1998,0,0,1,0,0
Rod McDonald,1971,1973,3.24,0.46,2.26,0,0
Hank McDowell,1982,1987,2.91,0.48,2.25,0.17,0.14
Antonio McDyess,1996,2011,12.05,1.28,7.53,0.77,1.09
Jim McElroy,1976,1982,9.86,3.5,1.96,0.92,0.3
Pat McFarland,1974,1976,6.4,1.48,2.01,0.51,0.08
Ivan McFarlin,2007,2007,1.36,0.09,1,0,0
Mel McGaha,1949,1949,3.45,1,0,0,0
Mitch McGary,2015,2016,4.37,0.33,3.52,0.33,0.35
JaVale McGee,2009,2023,7.79,0.43,5.17,0.39,1.44
Mike McGee,1982,1990,9.55,1.21,2.14,0.71,0.09
Bill McGill,1963,1970,10.49,1.12,4.36,0,0
George McGinnis,1972,1982,20.2,3.67,10.97,1.88,0.48
Jon McGlocklin,1966,1976,11.58,2.88,2.43,0.53,0.07
Bryce McGowens,2023,2023,3.78,0.81,1.69,0.25,0.14
Tracy McGrady,1998,2012,19.6,4.44,5.62,1.21,0.86
Gil McGregor,1972,1972,4.07,0.43,3.52,0,0
Cameron McGriff,2022,2022,4.67,1,5,0,0.33
Elton McGriff,1968,1969,6.04,0.18,4.61,0,0
Rodney McGruder,2017,2023,5.72,1.2,2.77,0.5,0.16
Alfred McGuire,1952,1955,3.96,1.9,2.19,0,0
Allie McGuire,1974,1974,2,0.5,1,0,0
Dick McGuire,1950,1960,8.02,5.7,4.16,0,0
Dominic McGuire,2008,2013,2.75,1.23,3.42,0.45,0.54
Kevin McHale,1981,1993,17.85,1.72,7.33,0.35,1.74
